jmdict_id,term,g,t,field_id,kind,severity,old,new,reason,shard,batch
1482100,挽回,44,3,f44e1812t3,gloss,major,检索,取回,挽回的义项是 recovery/retrieval，即取回、恢复；现译‘检索’指查找信息，偏离日英义。,1,1
1551290,立回る,75,2,f51e601t2,gloss,major,行事,处世,立ち回る此义为 conduct oneself，指处世、行事方式；‘行事’是名词且不表达该动词义。,1,1
1229150,救済,118,4,f20e1004t4,example,minor,那位老人向救济贫民捐了大笔钱。,那位老人向救济贫民捐赠了大笔钱。,日文为貧民救済に多額の金を寄付した，意为捐钱用于救济贫民；现译‘向救济贫民捐’搭配不通。,1,1
1208340,活性化,260,2,f18e953t2,gloss,major,rejuvenation,焕发活力,活性化的该义是 rejuvenation，与相邻的刺激、振兴、增强活力同为中文；原文残留英文，未译。,1,2
1409480,体裁,277,7,f37e1858t7,gloss,major,展示,装门面,体裁此义是 appearances/show，即讲究表面体面或装门面；中文‘展示’译成了展示动作，词义不合。,1,2
1409480,体裁,277,8,f37e1858t8,gloss,major,陈列,门面功夫,体裁此义为维持表面体面的 display，不是物品陈列；‘陈列’误解了 appearances 语境。,1,2
1122990,ホワイト,320,1,f10e1396t1,example,major,怀特先生大家都很喜欢他。,怀特小姐深受大家喜爱。,英文明确是 Miss White，日文ホワイトさん对应姓氏；现译‘先生’误标为男性。,1,3
1144480,レール,324,9,f12e456t9,note,major,尤其用于“レールを敷く”（铺设轨道）,尤其用于“铺路”（字面为铺设轨道）,レールを敷く在该义下是为后续工作打基础、铺路的惯用语；现译只说铺设轨道，漏掉词条所注用法。,1,3
1286160,国王,407,5,f25e1613t5,gloss,major,王冠,王权（作为英国等国权力主体）,法律语境的 the Crown 指代表国家权威的王权/王室权力主体，不是实体王冠；现译按字面误译。,1,3
1181660,王道,439,2,f15e1796t2,gloss,major,君主,王权,王道的 kingship 指君主身份或王权，不能译为人‘君主’；并与相邻的 righteous government 等义项区分。,1,3
2226380,しれっと,450,0,f118e990t0,gloss,major,冷淡地,若无其事地,しれっと的 nonchalantly 是不动声色、若无其事地，不是对人冷淡；现译改变了语义。,1,3
1269450,後遺症,466,0,f24e797t0,gloss,major,预后症状,后遗症,日语后遺症指疾病后的遗留影响/后遗症；‘预后症状’指 prognosis，概念不同。,1,4
1259555,お見合い,472,1,f23e960t1,gloss,major,与未婚配偶的面试,与相亲对象的面谈,prospective spouse 是未来配偶/相亲对象，‘未婚配偶’自相矛盾且误解 prospective。,1,4
1204020,外道,485,14,f18e39t14,gloss,minor,非预期的鱼,意外捕获的鱼,外道的该义由英文明确限定为未打算捕获的鱼；‘非预期的鱼’生硬且没有表达捕获结果。,1,4
1156450,意気込む,573,5,f13e713t5,example,major,一开始就过于意气用劲的话，中途会喘不过气来的。,一开始就干劲过猛的话，中途就会后劲不足。,日文意気込みすぎる与英文 pace yourself/choke halfway 指开头过于卖力、之后力竭；‘意气用劲’误用中文词且语义不清。,1,4
2559830,路地裏,599,0,f147e1877t0,gloss,critical,不在街上,后街,路地裏意为后街/背街，现译‘不在街上’与 back street 完全不符。,1,4
2559830,路地裏,599,1,f147e1877t1,gloss,critical,即使嘴巴裂开也不会说,后巷,路地裏意为后巷，现译‘即使嘴巴裂开也不会说’与 back alley 完全无关。,1,4
2559830,路地裏,599,2,f147e1877t2,gloss,critical,即使受到威胁也不愿透露,非临街的；偏街的,off-street 指不临街或离开主街的，现译‘即使受到威胁也不愿透露’与英文无关。,1,4
1612470,難なく,619,1,f59e1910t1,example,major,他轻松地展示了那个技巧。,他轻松地表演了那个魔术。,日文手品与英文 trick 均指魔术表演；现译‘展示技巧’把魔术误解成一般技能。,1,4
1612470,難無く,620,1,f59e1911t1,example,critical,他轻而易举地展示了那件物品。,他轻而易举地表演了那个魔术。,日文手品与英文 trick 均指魔术表演；‘那件物品’完全误解原文词义。,1,4
1428880,聴覚,655,0,f39e1574t0,gloss,minor,（听觉）,听觉,sense of hearing 的中文对应为听觉；原文留下括号限定，造成译文不完整。,1,5
2148680,掛け,728,0,f110e684t0,gloss,major,覆,穿着……的,后接衣物名称时该后缀表示穿着该衣物的状态；单字‘覆’不是完整可用的中文释义。,1,5
1164680,一団,768,0,f14e245t0,gloss,major,部队,群体,一団指一群人或整体，英文 body 此处为群体；‘部队’无依据地限为军事单位。,1,5
1164680,一団,768,2,f14e245t2,gloss,major,党,一行人,party 此义为一群同行者/一行人；‘党’误导为政治组织。,1,5
1164680,一団,768,3,f14e245t3,gloss,major,帮派,一伙人,gang 此处是成群的一伙人；‘帮派’额外加入犯罪组织含义。,1,5
1074590,セッティング,785,4,f7e194t4,example,minor,设置已经弄好了，所以接下来你必须要拿出干劲才行啊？,准备工作都安排好了，所以接下来你只要拿出胆量就行了。,英文 set the stage 与日文セッティングは整えておいた表示准备已安排妥当；‘设置已经弄好了’不自然且误导为设备设置。,1,5
1973820,応急処置,793,2,f92e1819t2,example,minor,我们用急救措施使心脏骤停的患者恢复了生命。,我们用急救措施使心脏骤停的患者复苏。,日文生かした和英文revive表示使患者复苏；‘恢复了生命’搭配生硬且易理解为起死回生。,1,6
1281150,考察,801,2,f25e776t2,gloss,minor,询问,调查,考察的 inquiry 是考察/探究或调查，不是向人提出询问；当前译法把研究义误成问话。,1,6
1481690,繁華街,870,3,f44e1720t3,gloss,major,购物中心,购物区,繁華街指市内繁忙的商业购物街区；shopping centre 在此是街区，不是封闭的购物中心。,1,6
1481690,繁華街,870,4,f44e1720t4,gloss,major,购物中心,购物区,繁華街指市内繁忙的商业购物街区；shopping center 在此是街区，不是封闭的购物中心。,1,6
1592200,口々に,876,0,f56e1065t0,gloss,minor,每个人（说）,人人都说,口々に的义为每个人都说/纷纷说道；单写‘每个人’漏掉了关键的说话动作。,1,6
2864389,お世話になっております,910,0,f210e1325t0,gloss,major,非常感谢一切,承蒙您一直以来的关照,お世話になっております是商务寒暄语，表达一直承蒙关照；‘感谢一切’按英文直译，中文不成立。,1,6
2864389,お世話になっております,910,1,f210e1325t1,gloss,minor,一直很高兴与您合作,一直以来与您合作愉快,该敬语寒暄表示与对方保持良好合作关系；‘一直很高兴与您合作’中文搭配生硬。,1,6
1230180,糾弾,945,1,f20e1200t1,gloss,major,弹劾,公开谴责,糾弾是严厉指责/谴责；denunciation 不是法律上的弹劾程序，原译把一般谴责限定为弹劾。,1,6
1328960,趣き,950,14,f30e124t14,example,major,无法说明其优雅之处。,个中趣味难以解释。,日文趣きを説明することはできない说的是其中的趣味/意味难以说明；英文 idiom 也涉及品味，‘优雅之处’无源文依据。,1,6
1422130,築き上げる,955,6,f39e415t6,example,major,那个男人建立了巨额财富。,那个男人积累了巨额财富。,築き上げる和 build up a fortune 均指逐步积累财富，旧译‘建立财富’搭配不当。,1,7
1241270,均衡,979,2,f21e1289t2,example,minor,美国有一套精密的宪法上的制约与均衡制度。,美国有一套精密的宪法制衡制度。,checks and balances 是宪法制度中的制衡机制，旧译‘制约与均衡’不符合中文术语表达。,1,7
2195830,ドン引き,986,5,f115e215t5,example,major,喂，差不多该停止内裤笑话了，读者会离开的，变态。,喂，差不多该停止讲内裤笑话了，会让读者反感的，变态！,日文読者が退く与英文 put off 表示读者会反感、被劝退，旧译‘读者会离开’丢失了被冒犯的语义。,1,7
1100880,パーフェクト,1000,2,f8e1997t2,gloss,major,完美比赛,完全比赛,该 sense 标注棒球且英文为 perfect game，中文棒球术语为‘完全比赛’。,1,7
1100880,パーフェクト,1000,3,f8e1997t3,xref,major,完美比赛,完全比赛,xref 指向 perfect game，棒球术语应译为‘完全比赛’。,1,7
1741740,尻目,1004,1,f72e686t1,gloss,minor,斜视,斜睨,sidelong glance 指斜着看的一眼，旧译‘斜视’易被理解为眼位异常。,1,7
1475160,白黒,1013,2,f44e511t2,example,major,在中国和西藏的山区生活的黑白熊被称为熊猫。,生活在中国和西藏山区的黑白相间的熊被称为熊猫。,白黒の熊指黑白相间的熊，现译‘黑白熊’会误解为两种颜色的熊；按日文句义改为黑白相间。,1,7
1246650,掘り起こす,1041,3,f22e267t3,example,major,而且，他们已经把庭院挖掉了。,而且，他们已经把庭院也挖开了。,掘り起こす/torn up the garden 是挖掘或翻动庭院，旧译‘挖掉庭院’误成移除庭院。,1,7
1254190,決め込む,1062,5,f22e1924t5,gloss,major,摆架子,冒充（某种身份）,pose as 表示假扮、冒充身份，‘摆架子’是装腔作势，义项不符。,1,7
1254190,決め込む,1062,12,f22e1924t12,example,major,我下定决心，忍辱负重，等待争论结束。,我决定耐心等待争论结束。,日文辛抱強く只表示耐心地，英文 bide my time 也指耐心等待，旧译‘忍辱负重’凭空加入受辱和承担重任。,1,7
1113160,ブーム,1091,5,f9e1890t5,gloss,major,船尾,（帆船的）帆桁,船舶语境的 boom 指连接桅杆并支撑帆脚的横杆（帆桁），不是船尾。,1,7
2847210,ハンデ,1110,0,f194e515t0,gloss,major,让分,劣势,本组例句中的ハンデ是病弱造成的不利条件，handicap 义为障碍或不利因素，‘让分’仅适用于竞赛计分语境。,1,7
1251780,継承,1115,4,f22e1357t4,gloss,major,共同继承,相同方式共享,法务/计算机语境的 share-alike 是知识共享许可条件，指改编作品须以相同方式共享，非共同继承。,1,7
2426680,ほいほい,1119,14,f136e524t14,gloss,major,回（人）,回族,Hui (people) 指中国回族，‘回（人）’不自然且没有明确族群义；紧邻xref也注明中国伊斯兰教少数民族。,1,7
2545530,やる気満々,1167,1,f146e1421t1,gloss,major,完全愿意,干劲十足,やる気満々表示干劲十足、积极性很高；fully motivated 不等于‘完全愿意’，后者偏向同意做某事。,1,8
2220470,路,1185,3,f117e1807t3,gloss,major,……岁（如40岁、60岁）,……岁数段（如四十多岁、六十多岁）,英语 one's 40s/60s 指年龄段而非恰好40岁或60岁；日语后缀じ亦指该年龄段。,1,8
1431390,直属,1193,2,f40e12t2,example,major,她将成为我的直属上司。,我将成为她的直属上司。,日文主语是私，谓语是成为直属上司；旧译倒置了主客体。英文 She will report directly to me 表达的是同一工作关系。,1,8
1102580,ぱらぱら,1211,2,f9e249t2,example,minor,屋顶上雨沙沙地落着。,雨点淅淅沥沥地落在屋顶上。,ぱらぱら落ちていた/was pattering 表示雨点落在屋顶上，旧译语序生硬且‘沙沙’不如‘淅淅沥沥’适合雨声。,1,8
1680110,抜け駆け,1242,3,f66e1047t3,example,minor,他抢先立下了赫赫功业。,他抢先立下了功劳。,抜け駆けの功名をたてた 是抢先立功；‘赫赫功业’额外夸大了功绩。,1,8
2186550,不幸中の幸い,1250,3,f114e265t3,gloss,major,祸福相依,因祸得福,blessing in disguise 指坏事带来意外的好结果，中文对应‘因祸得福’；‘祸福相依’只表示祸福互相依存。,1,8
1312860,賜わる,1264,4,f28e854t4,example,minor,虽然我是个学识浅薄、能力不足的人，但还是想恳请诸位多多赐力，在此郑重请求各位。,我学识浅薄、能力有限，但仍恳请诸位伸出援手，在此郑重拜托各位。,日文请求的是得到诸位的帮助，旧译‘赐力’生硬；按谦逊语气自然表达求助。,1,8
1284550,合意,1320,5,f25e1347t5,example,major,他们达成了停火条件。,他们就停火条件达成了一致。,合意する/agree on cease-fire terms 指就条件达成协议，旧译‘达成停火条件’误成达成了条件本身。,1,9
1378810,生ぬるい,1367,0,f34e1610t0,gloss,major,温吞的,温热的,生ぬるい/ lukewarm 指温度不够热、微温，‘温吞’形容人的性格或做事迟缓，不符合温度义。,1,9
1378810,生ぬるい,1367,1,f34e1610t1,gloss,major,温吞的,微温的,tepid 指微温，‘温吞’不能表达物体的温度。,1,9
1133140,メージャー,1373,10,f11e896t10,gloss,major,（石油）主要公司,（石油）巨头,oil major 是大型石油公司/石油巨头，不是‘石油主要公司’。,1,9
1133140,メージャー,1373,11,f11e896t11,gloss,minor,主要唱片公司,大型唱片公司,major record label 指大型主流唱片公司，‘主要唱片公司’是生硬直译。,1,9
1634340,断わり,1398,3,f61e1920t3,example,major,她未作任何说明便挪动了我的车。,她连招呼都没打，就开了我的车。,何の断りもなしに/without so much as asking 表示未经允许或事先招呼，旧译‘未作任何说明’误为没有解释。,1,9
1606670,沸き出る,1459,11,f59e534t11,example,minor,人类心中希望永远涌起。,人心中的希望永不枯竭。,希望永远涌起的直译不自然，英语 Hope springs eternal 和日语原句表达希望在人心中源源不断。,1,10
1253120,芸当,1477,4,f22e1673t4,example,minor,我把那只狗训练得能表演各种技巧。,把戏,狗被训练会做 tricks 指表演把戏/花样，‘技巧’是能力或技艺，放在此处搭配不当。,1,10
1224200,鬼ごっこ,1500,0,f20e148t0,gloss,major,捉迷藏（儿童游戏）,捉人游戏（儿童游戏）,鬼ごっこ/ tag 是追逐抓人的儿童游戏，不是躲藏的捉迷藏。,1,10
1224200,鬼ごっこ,1500,2,f20e148t2,example,major,我们以前经常玩捉迷藏之类的游戏。,我们以前经常玩捉人之类的游戏。,JA のような遊び与 EN games like tag 均指捉人游戏，旧译再次误为捉迷藏。,1,10
1328390,手本,1536,5,f29e1997t5,gloss,major,模范书法,书法范本,model handwriting 指供临摹的书写范本，‘模范书法’误作书法艺术的模范。,1,10
1328390,手本,1536,6,f29e1997t6,gloss,major,模范绘画,绘画范本,model drawing 指绘画范本/样稿，‘模范绘画’不表达范本义。,1,10
1474040,売店,1574,5,f44e267t5,example,major,冰淇淋摊在户外向顾客售卖冰淇淋。,冰淇淋摊贩正在户外摊位上招呼顾客。,英文 ice cream vendor 与日文アイスクリーム売り指摊贩，旧译将人误译成摊位作主语。,1,10
1607070,叔父,1636,0,f59e667t0,gloss,critical,uncle,叔叔；伯父；舅舅；姑父；姨父,英文 uncle 被原样留在中文字段，必须译为中文亲属称谓；日语おじ不限定父系，按关系可对应叔叔、伯父、舅舅、姑父或姨父。,1,11
1607070,叔父,1636,1,f59e667t1,note,major,伯父或叔父分别指比父亲年长或年幼,日语“伯父”和“叔父”分别指父母的兄长和弟弟。,原注说比 one's parent 年长或年幼，旧译缩窄为仅比父亲年长或年幼。,1,11
1607070,叔父,1636,4,f59e667t4,xref,major,姑母,姑母、姨母等（女性长辈亲属）,aunt 是泛指女性长辈亲属，旧译‘姑母’仅指父系姑母，未涵盖姨母及姻亲称谓。,1,11
1226020,議員,1653,1,f20e513t1,gloss,major,众议院议员,国会议员,日本 Diet（国会）包括众议院和参议院，member of the Diet 泛指国会议员，不能限定为众议院议员。,1,11
2118430,何はともあれ,1665,3,f107e374t3,gloss,major,除此之外,至少,if nothing else 表示‘至少/即便如此’，不是‘除此之外’。,1,11
2850709,渋谷,1714,0,f197e1030t0,gloss,critical,1936年2月军事叛乱,涩谷区（东京特别区）,Shibuya City 是东京的涩谷区，旧译‘1936年2月军事叛乱’与词头及英文释义完全不符。,1,11
2850709,渋谷,1714,1,f197e1030t1,gloss,critical,2月26日事件（日本军事政变企图；1936年）,涩谷,Shibuya 是东京地名涩谷，旧译‘二二六事件’是与词头无关的历史事件。,1,11
2097920,それきり,1721,5,f105e272t5,example,major,他再也没有回到故国。,他再也没能见到故国。,それきり再び故国を見ることはなかった/never to see his native land again 表示再也没有见到故国，不必然是没有返回故国。,1,11
1823430,聞き捨てならない,1766,2,f80e1157t2,gloss,major,不能不置可否,不能不作出回应,can't be allowed to pass without comment 指必须作出回应或表明态度，‘不能不置可否’语义不通。,1,11
1823430,聞き捨てならない,1766,3,f80e1157t3,example,major,那不能不置可否。,我不能让这种说法不受质疑。,cannot let it go unchallenged 表示不能任由这种说法不受质疑，旧译‘不能不置可否’不通。,1,11
1167960,芋,1769,4,f14e853t4,example,major,吃芋会放屁。,吃土豆会放屁。,英文例句明确是 potatoes；中文‘芋’通常指芋头，不等于马铃薯。,1,11
1419930,ダンボール,1820,1,f39e20t1,example,minor,走出学校一步，便看到无家可归的人们以纸箱为家，过着生活的样子。,走出学校，就看见无家可归的人们住在纸箱里。,段ボール箱を家代わりにして生活している様子是住在纸箱里，旧译‘走出学校一步’和‘过着生活的样子’不自然。,1,12
1491430,不可思議,1837,4,f45e1463t4,xref,major,① 奇妙的；非凡的；奇怪的；难以置信的；惊人的；好奇的；奇迹般的；神秘的,① 奇妙的；非凡的；奇怪的；难以置信的；惊人的；奇特的；奇迹般的；神秘的,curious 在该组形容词释义列表中意为奇特、古怪的，不是表示求知欲的‘好奇的’。,1,12
1599990,抜け道,1883,6,f57e1901t6,example,major,那落的底部没有出路。,地狱深处没有出路。,奈落の底には抜け道はなく指地狱深处没有脱身之路，旧译‘那落的底部’不成中文。,1,12
1569260,狡猾,1907,2,f53e257t2,gloss,major,机灵的,狡诈的,狡猾/ crafty 有负面狡诈义，‘机灵’只有聪明灵活之意，漏掉贬义。,1,12
1256550,兼ね備える,1937,0,f23e299t0,gloss,critical,健忘症,兼具两者,to have both 应译为兼具两者，‘健忘症’与日英释义完全无关。,1,12
1256550,兼ね備える,1937,1,f23e299t1,gloss,critical,健棒,兼有两者,to possess both 应译为兼有两者，‘健棒’无此义。,1,12
1256550,兼ね備える,1937,2,f23e299t2,gloss,critical,健啖,兼具（两者）,to combine with 表示兼备、兼有，‘健啖’与日英释义无关。,1,12
1256550,兼ね備える,1937,3,f23e299t3,example,critical,健啖家,那本书的作者兼具幽默感和机智，对吧？,原例日文和英文均说作者兼具机智与幽默，旧译‘健啖家’完全改变了句义。,1,12
1985520,この上なく,1939,0,f94e72t0,gloss,major,最重要的是,无比地,この上なく/ most of all 在此为程度副词‘无比地’，不是‘最重要的是’。,1,12
1341920,純真,1943,6,f31e434t6,example,major,她那副天真模样不过是装出来的，并非真心。,她看似天真，其实只是装出来的，并非真的天真。,pure-heartedness 的天真只是表象、并非真实；旧译‘并非真心’转成了动机是否诚恳。,1,12
1199830,回路,1987,1,f17e1189t1,example,major,让我们把保护电路短路掉吧。,让我们绕过保护电路。,bypass/飛ばす在电路语境是绕过保护电路，旧译‘短路掉’表示造成短路，改变了操作。,1,13
1307050,四つん這い,2011,2,f27e1798t2,gloss,minor,手脚着地,双手双膝着地,on one's hands and knees 明确指双手和双膝着地，‘手脚着地’没有保留 knees 的限定。,1,13
1534040,猛獣,2029,2,f49e1212t2,gloss,major,猛兽,大型猎物,big game 指供狩猎的大型野生动物/猎物，不等同于‘猛兽’（凶猛的动物）。,1,13
1637460,逸る,2072,2,f62e576t2,gloss,major,不安,坐立不安,restless 指焦躁不安、不能安定，单译‘不安’未体现坐立不宁的状态。,1,13
1351350,笑い話,2147,2,f32e260t2,example,minor,他（他）有取之不尽的有趣笑话。,他有说不完的好笑段子。,英文 an endless store of good jokes 与日文おもしろい笑い話を無限に知る指有很多好笑的故事/段子，旧译出现重复主语‘他（他）’且‘有趣笑话’不自然。,1,14
2015950,秘密裏,2149,3,f97e370t3,example,minor,据说和平谈判已在秘密中开始。,据说秘密和谈已经开始。,secret peace talks have begun/秘密裡に開始された是秘密和谈已经开始，‘在秘密中’是生硬直译。,1,14
1631520,憚る,2192,6,f61e1347t6,example,major,惹人讨厌的孩子，招人嫌。,祸害遗千年。,该例句是固定谚语 Ill weeds grow apace，对应憎まれっ子世にはばかる，意为恶人/讨人嫌者反而长久得势；旧译‘孩子招人嫌’失去谚语含义。,1,14
1387080,蝉,2214,1,f35e1436t1,gloss,major,蚱蜢,蝗虫,locust 指蝗虫，旧译蚱蜢是不同昆虫。,1,14
